Subject,Model,Classification,Coef_Stimulus,Coef_TP,Omega,pValue
AA65,Stimulus-Only,0.9230769230769231,0.6309588347739323,NA,NA,NA
AD91,Stimulus-Only,0.7159763313609467,1.0399956451672556,NA,NA,NA
AD93,Stimulus-Only,0.6153846153846154,1.0104916492237452,NA,NA,NA
AS97,Stimulus-Only,0.6331360946745562,0.6877417619908198,NA,NA,NA
AW89,Stimulus-Only,0.7041420118343196,0.6676805741206339,NA,NA,NA
AX93,Stimulus-Only,0.5443786982248521,0.2734363453681799,NA,NA,NA
BD98,Stimulus-Only,0.5976331360946746,0.730591694311088,NA,NA,NA
BK98,Stimulus-Only,0.7041420118343196,1.7515530487469826,NA,NA,NA
BM90,Stimulus-Only,0.6153846153846154,0.015578505587689084,NA,NA,NA
BM92,Stimulus-Only,0.6035502958579881,0.3770039132412515,NA,NA,NA
BP95,Stimulus-Only,0.9644970414201184,6.710827569724571,NA,NA,NA
BQ95,Stimulus-Only,0.591715976331361,0.879249460192302,NA,NA,NA
BR97,Stimulus-Only,0.7692307692307693,1.6121990095777277,NA,NA,NA
CJ95,Stimulus-Only,0.7692307692307693,1.0647107369904238,NA,NA,NA
CL94,Stimulus-Only,0.5266272189349113,0.218689200931043,NA,NA,NA
DA96,Stimulus-Only,0.863905325443787,0.9317549575714956,NA,NA,NA
DP97,Stimulus-Only,0.7926829268292683,2.0764609127947113,NA,NA,NA
EA95,Stimulus-Only,0.5548780487804879,0.2627431241045293,NA,NA,NA
EA98,Stimulus-Only,0.573170731707317,0.33752987817934565,NA,NA,NA
EF63,Stimulus-Only,0.573170731707317,0.5452270504832716,NA,NA,NA
EM96,Stimulus-Only,0.6585365853658537,1.5549731415093864,NA,NA,NA
ET96,Stimulus-Only,0.6890243902439024,1.6519427007856977,NA,NA,NA
FA96,Stimulus-Only,0.5914634146341463,0.5212708816273801,NA,NA,NA
FA99,Stimulus-Only,0.5853658536585366,0.7260244197910474,NA,NA,NA
FB98,Stimulus-Only,0.6402439024390244,1.1221427860781008,NA,NA,NA
GK65,Stimulus-Only,0.5914634146341463,0.6823943887836437,NA,NA,NA
GM97,Stimulus-Only,0.7012195121951219,0.6832846557666542,NA,NA,NA
HJ63,Stimulus-Only,0.6463414634146342,1.1709329502473462,NA,NA,NA
HP97,Stimulus-Only,0.6158536585365854,1.0616565821443051,NA,NA,NA
JD93,Stimulus-Only,0.676829268292683,0.9167451740517911,NA,NA,NA
JK94,Stimulus-Only,0.7012195121951219,1.7730673362126874,NA,NA,NA
KB98,Stimulus-Only,0.7560975609756098,0.626338510888518,NA,NA,NA
KF95,Stimulus-Only,0.6646341463414634,1.4663370687906419,NA,NA,NA
KF98,Stimulus-Only,0.6280487804878049,1.2009607538531633,NA,NA,NA
KP97,Stimulus-Only,0.6829268292682927,1.4925529109234212,NA,NA,NA
KY96,Stimulus-Only,0.6585365853658537,1.2555241299339561,NA,NA,NA
LB93,Stimulus-Only,0.8292682926829268,3.144152278672252,NA,NA,NA
LE96,Stimulus-Only,0.7195121951219512,0.7461612158446762,NA,NA,NA
LJ93,Stimulus-Only,0.6829268292682927,1.5116737436681291,NA,NA,NA
MA95,Stimulus-Only,0.6646341463414634,1.5987139490704552,NA,NA,NA
MB98,Stimulus-Only,0.6707317073170732,2.085199388896827,NA,NA,NA
MC95,Stimulus-Only,0.6585365853658537,1.253878417576224,NA,NA,NA
MC97,Stimulus-Only,0.8475609756097561,2.6004195369081238,NA,NA,NA
MH94,Stimulus-Only,0.7134146341463414,1.316324440822751,NA,NA,NA
MH96,Stimulus-Only,0.695906432748538,0.01680711831622918,NA,NA,NA
MH98,Stimulus-Only,0.8596491228070176,3.7402703447917123,NA,NA,NA
MP94,Stimulus-Only,0.8713450292397661,3.9654283535732655,NA,NA,NA
MR95,Stimulus-Only,0.8771929824561403,4.0471602508376066,NA,NA,NA
MR96,Stimulus-Only,0.7134502923976608,1.8519783292188272,NA,NA,NA
MS96,Stimulus-Only,0.7660818713450293,2.374614285856577,NA,NA,NA
MT95,Stimulus-Only,0.5964912280701754,0.7820857117401566,NA,NA,NA
MU91,Stimulus-Only,0.8713450292397661,4.565444081988176,NA,NA,NA
"NA92",Stimulus-Only,0.8654970760233918,5.49474352951439,NA,NA,NA
PJ95,Stimulus-Only,0.5263157894736842,0.11855973458471358,NA,NA,NA
QA92,Stimulus-Only,0.543859649122807,0.35337351823375757,NA,NA,NA
RG94,Stimulus-Only,0.8187134502923976,3.1425088924959703,NA,NA,NA
RH01,Stimulus-Only,0.8888888888888888,4.229090494771971,NA,NA,NA
RH90,Stimulus-Only,0.9181286549707602,4.91852000477479,NA,NA,NA
RH96,Stimulus-Only,0.7660818713450293,3.328726227509448,NA,NA,NA
RL97,Stimulus-Only,0.7543859649122807,2.3835659444354134,NA,NA,NA
RP96,Stimulus-Only,0.7391304347826086,-0.09662683568870192,NA,NA,NA
RP98,Stimulus-Only,0.7329192546583851,0.5522942177054672,NA,NA,NA
SP99,Stimulus-Only,0.6583850931677019,0.682805826762199,NA,NA,NA
TF91,Stimulus-Only,0.5590062111801242,0.447116105003478,NA,NA,NA
TH98,Stimulus-Only,0.6583850931677019,1.5847452998435225,NA,NA,NA
UR65,Stimulus-Only,0.6645962732919255,0.6370577139058908,NA,NA,NA
US95,Stimulus-Only,0.6645962732919255,1.1433481825092946,NA,NA,NA
US96,Stimulus-Only,0.5527950310559007,0.37806613392004895,NA,NA,NA
VK66,Stimulus-Only,0.6770186335403726,1.6402095710989735,NA,NA,NA
VP95,Stimulus-Only,0.7018633540372671,2.5212742939588453,NA,NA,NA
VR65,Stimulus-Only,0.6521739130434783,0.9696031380662081,NA,NA,NA
XX88,Stimulus-Only,0.6024844720496895,0.19338734207103503,NA,NA,NA
XY99,Stimulus-Only,0.577639751552795,0.5956645037030212,NA,NA,NA
YY98,Stimulus-Only,0.7080745341614907,2.246355040648991,NA,NA,NA
YZ87,Stimulus-Only,0.6645962732919255,-0.17205189015604583,NA,NA,NA
AA65,Transition Probability,0.7602339181286549,0.007847414525336641,-1.6426547613124642,tpPredNextA5,0
AD91,Transition Probability,0.7012195121951219,1.7081913200066416,-1.044731144317527,tpPredNextA1,0.04672
AD93,Transition Probability,0.9230769230769231,0.6603578882450988,-2.5687940404837506,tpPredNextA1,0.02307
AS97,Transition Probability,0.7701863354037267,-0.23366361609713118,-3.426404053636289,tpPredNextA1,0
AW89,Transition Probability,0.7869822485207101,1.2017459811566442,-4.132287917757347,tpPredNextA1,0
AX93,Transition Probability,0.8536585365853658,0.635555129625867,-5.680580823625416,tpPredNextA1,0
BD98,Transition Probability,0.6982248520710059,1.247759652984902,-2.0703731581226545,tpPredNextA2,0
BK98,Transition Probability,0.8596491228070176,3.760151630838778,-0.4488910195719596,tpPredNextA6,0.13174
BM90,Transition Probability,0.7865853658536586,1.393907475027083,-4.235457232568573,tpPredNextA1,0
BM92,Transition Probability,0.6627218934911243,0.6600307675954501,-0.8731062594331027,tpPredNextA3,0.00244
BP95,Transition Probability,0.823170731707317,1.9863431515062413,-3.2517680518970513,tpPredNextA1,7e-5
BQ95,Transition Probability,0.7329192546583851,0.44894382730696525,-2.3311344178907483,tpPredNextA1,1e-4
BR97,Transition Probability,0.8713450292397661,4.339628231929807,-1.6093428117385409,tpPredNextA2,0.00127
CJ95,Transition Probability,0.6097560975609756,1.3509069994832177,0.32655568521540806,tpPredNextAInf,0.13104
CL94,Transition Probability,0.7073170731707317,1.3897807471893369,-0.737960724388699,tpPredNextA3,0.01192
DA96,Transition Probability,0.7378048780487805,1.2715227335679264,-2.759566629825095,tpPredNextA1,0
DP97,Transition Probability,0.676829268292683,0.12406472865619952,-1.7497321740506073,tpPredNextA3,0
EA95,Transition Probability,0.7012195121951219,0.2577501308034719,-2.560018590959481,tpPredNextA1,0
EA98,Transition Probability,0.5609756097560976,0.552967923688568,0.12525552662437478,tpPredNextAInf,0.56647
EF63,Transition Probability,0.7018633540372671,0.5150416207752634,-0.727245122260325,tpPredNextA8,0.00152
EM96,Transition Probability,0.7439024390243902,1.5302077601964688,-2.3667418673016605,tpPredNextA1,4e-5
ET96,Transition Probability,0.7701863354037267,0.8238431099164959,-2.9396991524578757,tpPredNextA2,0
FA96,Transition Probability,0.7682926829268293,1.8628818217875378,-1.931188341824081,tpPredNextA8,0
FA99,Transition Probability,0.5853658536585366,0.4779364495088715,-1.3945414375888407,tpPredNextA1,0.00782
FB98,Transition Probability,0.8771929824561403,4.141162466029242,-0.7767937670572729,tpPredNextA2,0.09388
GK65,Transition Probability,0.8012422360248447,1.6237993049762416,-1.5176069147330626,tpPredNextA4,0
GM97,Transition Probability,0.84472049689441,1.119674343702391,-5.1399296403281625,tpPredNextA1,0
HJ63,Transition Probability,0.7633136094674556,0.3889601247207949,-3.1921549171048538,tpPredNextA1,0
HP97,Transition Probability,0.7368421052631579,1.818080532281616,-0.7943608233019571,tpPredNextA15,4.8e-4
JD93,Transition Probability,0.6390532544378699,0.18937861229723751,-1.7144438079206858,tpPredNextA1,0.00125
JK94,Transition Probability,0.8353658536585366,1.0856775390902051,-5.300763461706491,tpPredNextA1,0
KB98,Transition Probability,0.6153846153846154,0.667857037637487,-0.8737235454989635,tpPredNextA1,0.10083
KF95,Transition Probability,0.7660818713450293,2.3681507306991483,-0.5133342236024515,tpPredNextA30,0.02339
KF98,Transition Probability,0.6257309941520468,0.8089474024384,0.32478908709942605,tpPredNextAInf,0.17793
KP97,Transition Probability,0.7928994082840237,2.1668076151543234,-3.6382876154183306,tpPredNextA1,0
KY96,Transition Probability,0.8292682926829268,3.187602211951979,-2.2002837344822486,tpPredNextA1,0.00101
LB93,Transition Probability,0.7159763313609467,-0.19877782137795796,-3.012981098278493,tpPredNextA1,0
LE96,Transition Probability,0.8713450292397661,4.712203240878915,-0.6775455446475855,tpPredNextAInf,0.02142
LJ93,Transition Probability,0.6272189349112426,0.42430506353692454,0.8544928213945707,tpPredNextA30,0.02146
MA95,Transition Probability,0.9644970414201184,7.156726402510916,-0.8174542807299511,tpPredNextAInf,0.11407
MB98,Transition Probability,0.84472049689441,1.5958430624814612,-5.282211611425444,tpPredNextA1,0
MC95,Transition Probability,0.8198757763975155,0.2562784306695891,-4.703538970562822,tpPredNextA1,0
MC97,Transition Probability,0.7804878048780488,1.021500326116268,-4.040810280616725,tpPredNextA1,0
